,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-0.06313872,-0.051556528,-0.0582017,-0.039025307,-0.021437466,-0.002248615,0.023761421,0.053181976,0.0869073,0.11173332,0.13461623,0.052303135,0.025529563,0.057686746,0.055146128,0.09227589,0.10144827,0.10457167,0.10784176,0.14306504,0.1537075,0.17892268,0.11974782,0.044926196,0.026303083,0.022606492,0.03321603,0.029174298,0.06407505,0.13892174,0.18912822,0.22357145,0.19309327,0.25605315,0.4104296,0.20170578
1,-0.00031223893,0.0009070039,0.0039557517,0.006956041,0.008462697,0.0051115155,0.005492151,0.027589917,0.047465444,0.054622352,0.10904592,0.13310999,0.1293608,0.13183245,0.09103656,0.13506809,0.13858718,0.14237314,0.14431185,0.14342773,0.1561968,0.18630457,0.19465408,0.15432978,0.12280902,0.12289837,0.12879741,0.15609843,0.16049418,0.16212964,0.15767336,0.15976137,0.16654062,0.18561646,0.22508371,0.09547567
2,0.16388331,0.12432601,0.11094129,0.10690773,0.09661221,-0.013737723,-0.013641402,-0.0074426234,-0.00966005,-0.0055783093,-0.046685874,-0.082225695,-0.09042677,-0.08056615,-0.060556978,-0.038364157,-0.03216563,-0.023141861,0.0032274425,-0.024052128,-0.015746146,-0.014812201,-0.012654707,-0.06523645,-0.071654856,-0.07066168,-0.05473195,-0.040019616,-0.020182863,-0.012159973,-0.036330372,-0.023553908,0.009094477,0.008696184,0.0073745847,-0.039991483
3,-0.26708,-0.19575,-0.24563809,-0.22972888,-0.13517414,-0.14871417,-0.15820114,-0.20342886,-0.19649984,-0.19144595,-0.16156262,-0.1658707,-0.15896797,-0.15653983,-0.13278098,-0.12849689,-0.05638951,-0.0609456,-0.083045915,-0.13949417,-0.14480102,-0.1446754,-0.14396928,-0.16923241,-0.16768557,-0.15940441,-0.15441802,-0.15726364,-0.052423447,-0.17613667,-0.1694833,-0.14957395,-0.15956149,-0.15683445,-0.15872979,-0.09786166
4,-0.119815305,-0.09536049,-0.07726091,-0.07099292,-0.0668138,-0.022463799,-0.016010404,-0.015270442,-0.01400584,-0.013347745,0.005184531,0.0008968115,-0.0014929175,0.0021642447,-0.0049979985,0.0018559098,0.007052183,0.013451904,0.012890279,0.008682102,0.017835915,0.017621785,0.023892015,0.019143999,-0.0006930828,0.0057135224,0.017905056,0.024239957,0.023528129,0.029938847,0.047682703,0.048543096,0.08650187,0.104191154,0.10250908,0.039019108
5,-0.13862066,-0.13554108,-0.121128544,-0.13186415,-0.121446416,-0.11027914,-0.10897571,-0.106163844,-0.10449959,-0.10093197,-0.08789031,-0.059924036,-0.069640696,-0.07594362,-0.07174665,-0.07127701,-0.066726744,-0.05446683,-0.053549603,-0.04430598,-0.040238008,-0.03133881,-0.023195237,-0.03430119,-0.021190673,-0.005892113,0.0045909286,0.008361965,0.010137111,0.030835465,0.04121761,0.04627931,0.09373674,0.11438963,0.1172397,0.030303478
6,0.0042895973,0.008285493,-0.015614331,-0.00042149425,0.0037825108,0.0077778697,0.0056802034,0.0149795115,0.025323689,0.055021346,0.06949967,0.019862592,-0.007905602,-0.004223615,-0.015202835,0.0022630095,0.0210163,0.010402948,0.032287836,0.05136335,0.060611367,0.075044185,0.09134504,0.048505083,0.040816545,0.03921792,0.074263364,0.09647739,0.10023877,0.103226155,0.10014668,0.10828197,0.14797378,0.14191139,0.14004365,0.04978618
7,-0.011629552,-0.011358306,-0.0014691204,0.0033159405,0.0071755797,-0.01723224,-0.01826547,-0.016820833,-0.009716615,-0.008107796,-0.023888811,-0.032078594,-0.04513073,-0.086982384,-0.054375097,-0.04743275,-0.03512442,-0.030514404,-0.011379018,0.0018963516,0.014710471,0.015691534,0.015431672,0.0038392842,-0.0014332235,0.0026147664,0.0040959865,0.0001322031,0.009925038,0.013611913,0.015190423,0.024233654,0.018593296,0.031368807,0.028936282,0.010964215
8,-0.24261765,-0.24111578,-0.24030222,-0.24057943,-0.23836537,-0.24164084,-0.24062446,-0.23629364,-0.2348072,-0.22802995,-0.20974348,-0.21104321,-0.2169435,-0.22400528,-0.22259726,-0.2134433,-0.21478681,-0.21349508,-0.22080277,-0.2192424,-0.22591549,-0.21760748,-0.21504726,-0.21265113,-0.2273856,-0.2302564,-0.23154508,-0.21413757,-0.21770452,-0.22230385,-0.21409446,-0.21742296,-0.21330161,-0.20968677,-0.212243,-0.17042392
9,0.08879672,0.08119926,0.09603423,0.101797536,0.10049656,0.09427017,0.1156722,0.13321277,0.23139617,0.2703159,0.28798944,0.13362858,0.10854334,0.1462946,0.11207253,0.09893125,0.12394413,0.1229344,0.13497978,0.14615738,0.15361467,0.150381,0.13280717,0.07946473,0.098332345,0.1177866,0.13730542,0.13905716,0.15612625,0.20665804,0.22683652,0.22252879,0.22685614,0.22515877,0.18228596,0.15617217
